quantity_name;unit;depth_from[m];depth_to[m];value;description;quantity_source_name;quantity_source_description;quantity_source_provider;quantity_source_version;quantity_source_resolution;quantity_source_timerange;quantity_source_url;
sand fraction;% weight;0.30;1.00;45.00;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
silt fraction;% weight;0.30;1.00;35.00;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
bulk density;g/cm3;0.20;0.40;1.30;;insitu;in situ;None;None;None;None;None;
field capacity;m^3*m^-3;0.20;0.40;0.00;;insitu;in situ;None;None;None;None;None;
saturation;m^3*m^-3;0.20;0.40;0.44;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
permanent wilting point;m^3*m^-3;0.20;0.40;0.00;;insitu;in situ;None;None;None;None;None;
clay fraction;% weight;0.20;0.40;31.00;;insitu;in situ;None;None;None;None;None;
organic carbon;% weight;0.20;0.40;0.18;;insitu;in situ;None;None;None;None;None;
sand fraction;% weight;0.20;0.40;25.80;;insitu;in situ;None;None;None;None;None;
silt fraction;% weight;0.20;0.40;43.20;;insitu;in situ;None;None;None;None;None;
land cover classification;;;;12;Cropland, rainfed / Tree or shrub cover;CCI_landcover_2000;ESA CCI Land Cover;ESA;2000-v1.6.1;300m;1998-2002;http://www.esa-landcover-cci.org/;
land cover classification;;;;12;Cropland, rainfed / Tree or shrub cover;CCI_landcover_2005;ESA CCI Land Cover;ESA;2005-v1.6.1;300m;2003-2007;http://www.esa-landcover-cci.org/;
land cover classification;;;;12;Cropland, rainfed / Tree or shrub cover;CCI_landcover_2010;ESA CCI Land Cover;ESA;2010-v1.6.1;300m;2008-2012;http://www.esa-landcover-cci.org/;
soil classification;;;;None;Dystric Cambisol: UTS according to WRB;insitu;in situ;None;None;None;None;None;
land cover classification;;;;VINH;vinyard_at_hillslope;insitu;in situ;None;None;None;None;None;
climate classification;;;;Csa;warm temperate with hot and dry summers;insitu;in situ;None;None;None;None;None;
climate classification;;;;Cfa;Temperate - Without dry season - Hot Summer;koeppen_geiger_2007;Koeppen-Geiger Climate Classification;None;Peel2007;0.1°;None;http://www.hydrol-earth-syst-sci.net/11/1633/2007/;
climate classification;;;;Csa;Temperate - Dry Summer - Hot Summer;koeppen_geiger_2017;Version 2017 Koeppen-Geiger Climate Classification;None;Rubel2017;0.08°;None;http://koeppen-geiger.vu-wien.ac.at/pdf/Paper_2017.pdf;
